Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/nlpkkt240,27993600,785457,    25.352,    52.372,    31.315,100,36,    27.000,21207204,  8685.306,     8.333,8,20341624,472244,27993571,16916
input/cage15,5154859,147493,     2.671,     5.722,     3.753,100,36,    28.000,4200489,  5566.694,    20.278,8,1905416,115483,5123255,146230
input/G3,1585478,44644,     0.215,     0.237,     0.222,100,36,     3.000,171676,   179.194,     4.722,8,166674,965,921403,35865
input/kkt,2063494,59041,     0.456,     0.595,     0.530,100,36,     6.000,394745,   578.111,     7.444,8,349966,11818,1605548,44829
input/ecology1,1000000,27845,     0.137,     0.150,     0.140,100,36,     4.000,111298,   145.528,     4.722,8,110312,474,699927,513
input/uk-2002,18520486,528802,     8.428,    39.769,    24.572,100,36,    48.000,24584432,  2083.778,    35.000,8,4275968,4023,18517125,528517
input/asia,11950757,337284,     1.557,     3.010,     2.390,100,36,     2.000,758180,     6.389,     3.611,8,719944,23,8281495,337184
input/NLR,4163763,116638,     1.331,     2.696,     2.504,100,36,     6.000,699828,   265.556,     4.778,8,690912,2916,2545061,116504
input/coPapersDBLP,540486,15464,     0.666,     1.525,     0.944,100,36,    90.000,1396844,   857.278,    35.000,8,745068,110613,540476,15436
input/coPapersCiteseer,434102,12420,     0.509,     1.709,     1.006,100,36,   119.000,1481446,   362.861,    35.000,8,1004928,84850,434018,12406
input/copter2,55476,1587,     0.018,     0.031,     0.025,100,36,    13.000,21365,    79.083,     7.667,8,17572,1720,50879,1587
input/333SP,3712815,104556,     0.861,     2.338,     1.680,100,36,     5.000,627236,   162.833,     4.056,8,614608,362,2474861,104458
input/AS365,3799275,106283,     1.590,     2.482,     2.235,100,36,     6.000,637684,   240.722,     4.611,8,630096,2217,2637145,106215
